gender,ug_course,ug_specialization,interests,skills,ug_percentage,has_certifications,certification_title,is_working,first_job_title,masters_field
Female,bsc,computer applications,cloud computing,pythonsqljava,85.0,yes,"linux,git",yes,software,mca
Male,be,computer science engineering,technology,"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",66.5,yes,microsoft certification,yes,software engineer,none
Female,mba,commerce,salesmarketingtradingunderstand human behaviourhome interior design,accounting skillscritical thinking,75.525,no,no,yes,relationships manager,none
Female,btech,instrumentation engineering,technology,plc allen bradleyplc ladder logiclabviewbusiness analysisendtoend projectmanagementcrossfunctional team leadershiprequirements gatheringlean six sigmalean six sigma blackbeltproductivity improvement,70.68,yes,extreme productivity blinkist summary,yes,plant instrumentation engineer,none
Female,btech,computer science engineering,technology,"c, c, html, java",73.15,yes,"c,c,html,java",yes,network analyst,none
Male,btech,computer science engineering,technology,no,74.1,no,no,yes,software engineer trainee,none
Male,btech,computer science engineering,technology,programming language skillscritical thinkinglinuxpythonsqljava,69.35,yes,redhat certification,yes,senior software engineer,none
Male,bcom,accountancy,financial analysis,"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",63.745,yes,alteryx and tableau,no,telecaller,pursuing certified management accountant of united states
Male,be,automobile engineering,"take risk for profits, technology, entrepreneurship","analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills",71.44,no,no,yes,data engineer,none
Male,be,"science,maths, engineering subject",researchtechnologydata analyticsgovt job,analytical skillsdata visualization skills power bi tableau machine learning skillspythonsql,69.35,yes,"ml,tane the python,recommendation project based on market analysis ,second prize in nation level project competition",yes,worked in research institute,none
Male,be,mechanical engineering,entrepreneurship,"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",71.25,yes,google data analytics course,yes,teacher,mtech in metallury and material science
Male,btech,electrical and electronics engineering,technology,matlab embedded c arduino c c avreagle pcbarm cortexmkicadsoftware project management,81.7,yes,control systemscontrol of mobile robotsdigital signal processingelectric power systemselectric machinespower electronics,yes,embedded system engineer,none
Male,be,structural engineeeing,researchteachingtechnologydata analytics,"active listeningcritical thinkinganalytical skillspeople managementcommunication skillsleadershipproblem solving skillsdesigning skillsproeficiency in software like staad pro, etabs",74.33,no,no,yes,assistant professor,master in structural engineering
Male,mtech,mining,teachingtechnologyindustires,hardware skills,92.0,no,no,yes,mine engineer,mine engineer
Male,btech,mechanical engineering,technologyall fields related to data scienceindustiresinformation technology,"proeficiency in software like staad pro, etabscadcaeautocadcatiaansysproeseimensnx",73.15,yes,ansys,yes,mechanical design engineer,none
Male,bcom,accountancy,financial analysisnews coverageresearchsalesmarketingsocial justiceteachingtechnologytradingunderstand human behaviourunderstand human bodysupply chain analysisdata analyticsgovt jobgame industrydigital marketing,accounting skillsactive listeningcritical thinkinggathering informationbusiness knowledgeanalytical skillsfinance related skillspeople managementcommunication skillsnegotiation skillsmass communicationleadershipproduct knowledgeproblem solving skillsrisk management skillsdata visualization skills power bi tableau salesinterpersonal skillswealth management,80.0,no,no,yes,finance manager,m com
Male,bca,"c,c, java",teaching,active listeningteaching,69.0,no,no,yes,teaching,mca
Male,btech,civil engineering,market reserach,business knowledgecivil criminal lawproduct knowledge,74.955,no,no,yes,national head,none
Male,btech,mechanical engineering,design,critical thinkingproblem solving skillsdesigning skillsinterpersonal skillspython,73.15,yes,"catia,autocad,pro e",yes,field engineer,none
Male,bba,management,financial analysis,strategic planningfinancial analysisfinancial modelingmarketing strategyfinancial services,73.625,yes,equity derivativesadvanced financial statements analysisfinancial modellingintegrated mangement and safetypricing and valuation of fixed income instruments,yes,investment banking associate,none
Male,be,automobile engineering,"financial analysis, salesmarketing, technology, entrepreneurship","business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,yes,"six sigma, digital marketing",yes,sales executive,masters in business administration
Female,be,electronics and communication engineering,embedded design,"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design, simulation, embedded, iot",81.795,yes,"java,embedded and iot",yes,vlsi digital design,me in vlsi design
Male,btech,computer science engineering,research,"python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c",75.05,no,no,yes,production manager,mres in printed electronics
Male,be,electronics and communication engineering,technology,no,66.5,no,no,yes,software engineer,none
Male,bcom,sales and marketing,salesmarketing,active listeningbusiness knowledgecommunication skillsnegotiation skillsleadershipproduct knowledgeproblem solving skillssalesinterpersonal skills,55.0,no,no,yes,life insurance,masters in marketing and hr
Male,btech,computer science engineering,software job,no,76.0,no,no,yes,developer,none
Male,btech,computer science engineering,financial analysistechnologytradingdata analytics,business knowledgeanalytical skillsnegotiation skillsproblem solving skillsdata visualization skills power bi tableau machine learning skillssql,76.475,no,no,yes,full stack developer,none
Female,bpharmacy,pharmacy,research,"active listening, creativity skills, team work, logical skills",72.0,no,no,yes,process analyst,masters in pharmacy
Female,bcom,commerce,financial analysis,"accounting skills, cost accounting",51.3,yes,tax and law,no,housewife,none
Female,bsc,interior design,home interior design,programming language skillspeople managementmass communicationleadershipdesigning skillswriting skillsarchitecture,74.0,no,no,yes,junior interior designer,none
Male,bcom,commerce,take risk for profits,"business knowledge, product knowledge, team work, sales",57.0,no,no,yes,telecaller,masters in computer applications
Female,btech,information technology,entrepreneurship,"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",65.55,yes,digital marketing,yes,hr,masters in business administration
Male,bsc,chemistry,government jobs,sports,74.1,yes,no,no,pc,msc
Male,be,automobile engineering,"research, take risk for profits, understand human behaviour","critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills",76.0,no,no,yes,design engineer,none
Male,btech,electrical and electronics engineering,"information technology, blockchain",dockerkubernetesamazon web services awsbashapachenew relic apmjenkinsinternet information services iisterraformakscontinuous integration and continuous delivery cicdamazon ec,74.67,yes,creating routing policies to handle website traffic using aws routekubernetes,yes,devops engineer,none
Male,btech,computer science engineering,software job,"full stack, java, python, reactjs",74.1,yes,"full stack, java, python, reactjs",yes,software engineer,none
Male,be,mechanical engineering,supply chain analysisdata scientistmachine learningexcel,active listeninganalytical skillsnegotiation skillsproduct knowledgeproblem solving skillsrisk management skillsmachine learning skillspython,88.35,yes,data science,yes,production engineer,none
Male,btech,computer science engineering,software job,"web development php, codeigniter, java development, graphic desiging, android app development",73.15,yes,"web development php, codeigniter, java development, graphic desiging, android app development",yes,software engineer,none
Male,bcom,commerce,financial analysis,accounting skillsactive listeningcritical thinkinggathering informationartisticcreative skillsbusiness knowledgecommunication skillssocial media marketing,63.0,yes,global and digital marketing,yes,sales manager,mba
Male,btech,mechanical engineering,technologyindustires,cadcaeautocadcatiaansysproeseimensnx,74.1,yes,catia,yes,mechanical design engineer,none
